is_act;label_filters_categories;help_filters_categories;translation_key;value;pri_trans;primary_translation;sec_trans;secondary_translation;pri_desc;primary_description;sec_desc;secondary_description
1;filters-translations-categories-labels;filters-translations-categories-helps;label-translation-custom-key;;1;Custom Translation Key;1;Gepasmaakte vertaalsleutel;1;# Please type the filter key value here;1;# Tik asseblief die gepasmaakte vertaalsleutel hier in
1;filters-translations-categories-labels;filters-translations-categories-helps;label-translation-key;;1;Translation Key;1;Vertaling Sluetel;1;# Auto generated translation key identification;1;# Outo-gegenereerde vertaling sleutel identifikasie
1;filters-translations-categories-labels;filters-translations-categories-helps;label-translation-value;;1;Translation Value;1;Vertalingwaarde;1;# Please type the translation value here;1;# Tik asseblief die vertaling waarde hier in
1;filters-translations-categories-labels;filters-translations-categories-helps;label-translation-description;;1;Translation Description;1;Vertaling beskrywing;1;# Please enter the translation description here;1;# Voer asseblief die vertaling beskrywing hier in
1;filters-translations-categories-labels;filters-translations-categories-helps;label-translation-locale-choice;;1;Translation Locale;1;Vertaling Lokaal;1;# Please select the translation locale here;1;# Kies assebleif die vertaling lokaal hier
1;filters-translations-categories-labels;filters-translations-categories-helps;label-translation-category-choice;;1;Translation Category;1;Vertaling Kategorie;1;# Please select the translation category here;1;# Kies assebleif die vertaling kategorie hier
1;filters-translations-categories-labels;filters-translations-categories-helps;label-translation-toggle-custom-key;;1;Custom Key;1;Pasgemaakte sleutel;1;# Toggle generate custom key [Yes or No];1;# Wissel genereer persoonlike sluetel [Ja of Nee]
1;filters-translations-categories-labels;filters-translations-categories-helps;label-toggle-active;;1;Active;1;Aktief;1;# Toggle active [Yes or No];1;# Wissel aktief [Ja of Nee]
1;filters-translations-categories-labels;filters-translations-categories-helps;label-approved-at;;1;Approved at;1;Goedgekeur op;1;# Auto generated approval date;1;# Outo-gegenereerde goedkeuring datum
1;filters-translations-categories-labels;filters-translations-categories-helps;label-approved-by;;1;Approved by;1;Goedgekeur duer;1;# Auto generated approval user;1;# Outo-gegenereerde goedkeuring gebruiker
1;filters-translations-categories-labels;filters-translations-categories-helps;label-translation;;1;Translation;1;Vertaling;1;# Please type the translation here;1;# Tik assebleif die vertaling hier in
1;filters-translations-categories-labels;filters-translations-categories-helps;label-toggle-approved;;1;Approved;1;Goedgekeur;1;# Toggle approval [Yes or No];1;# Wissel goedkeuring [Ja of Nee]
